a,b,jaccard,n_cells,r,p
45|0,46|0,0.0,57,0.17980690745260947,0.18077435942401032
45|0,48|0,0.05405405405405406,67,0.18564148804623426,0.1325678856540148
45|0,49.2|0,0.32432432432432434,154,0.26399681902127314,0.0009385913000094223
45|0,52|0,0.0,70,0.30330292131039915,0.010699798616598552
45|0,53|0,0.04878048780487805,142,-0.011504108464507388,0.8919160706707243
45|0,55A|0,0.0,54,0.12881547279963765,0.3532401616546164
45|0,57|0,0.02564102564102564,128,-0.11882195744414013,0.18159264732190036
45|0,61|0,0.0,145,0.1833423049789261,0.027288113836847587
45|0,62|0,0.0,112,0.30687510230822723,0.0009982823491086618
45|0,67|0,0.0,171,-0.08801573705243416,0.25231838326721817
45|0,OC1|0,0.06349206349206349,128,0.17063311070702197,0.054141500156603496
45|0,OC2|0,0.06557377049180328,92,0.11892548427328445,0.25885172550906327
45|0,OC3|0,0.0,95,-0.052045736303847165,0.6164391798446768
45|1,49.2|0,0.0,40,-0.2912491557014876,0.06824789568098992
45|1,53|0,0.020833333333333332,37,-0.20722863416994336,0.2184461077270726
45|1,57|0,0.022222222222222223,40,0.03458886315041787,0.8321962764502839
45|1,61|0,0.02857142857142857,48,0.05766264622477658,0.6970601111949344
45|1,67|0,0.0,53,-0.12561859577630136,0.37010976626284553
45|1,OC1|0,0.0,33,-0.4343244364358046,0.011551665348013858
46|0,48|0,0.09734513274336283,62,0.32764791261167214,0.009333623533214925
46|0,49.2|0,0.06741573033707865,53,0.5612911461284066,1.2298337715530415e-05
46|0,53|0,0.047058823529411764,63,0.5285014315442741,8.499863999422113e-06
46|0,55A|0,0.37894736842105264,37,0.30576893335185,0.06570366893427272
46|0,57|0,0.04878048780487805,39,-0.020087717409690786,0.9033913474299947
46|0,61|0,0.0,53,0.26050622643068977,0.059569925904385604
46|0,62|0,0.0,48,0.6168669394901027,3.0259935519358023e-06
46|0,67|0,0.0,65,-0.05244716604576721,0.6781976643248279
46|0,OC1|0,0.0,42,0.2748467919113901,0.07814408465722884
46|0,OC2|0,0.0,42,0.20811808376460642,0.18597128792719894
46|0,OC3|0,0.20952380952380953,47,0.3521582852398937,0.015199404450863528
48|0,49.2|0,0.0,72,0.19396582641654686,0.10255410231993208
48|0,53|0,0.0,81,0.2838381673602176,0.01023211966423152
48|0,55A|0,0.0,50,-0.3287308855732217,0.019759842242128123
48|0,57|0,0.0,55,0.18147378916265308,0.18484846193858256
48|0,61|0,0.0,71,0.1780699964969773,0.13735480137501235
48|0,62|0,0.0,61,0.5215772754571318,1.629730462014218e-05
48|0,67|0,0.0,84,-0.04553144396100571,0.6808795686094858
48|0,OC1|0,0.11235955056179775,54,0.31340306944019136,0.021020493931894573
48|0,OC2|0,0.11494252873563218,53,0.2375634520954627,0.08673745183164504
48|0,OC3|0,0.0,54,0.6793081419928064,1.631239009412085e-08
49.2|0,52A|0,0.0,35,0.22551603370349377,0.19272085681066473
49.2|0,52|0,0.0,98,0.41229963288394295,2.4601246244733633e-05
49.2|0,53|0,0.045454545454545456,151,0.34004687900338604,1.938590963399397e-05
49.2|0,55A|0,0.0,49,0.14411908069338278,0.3231721254765291
49.2|0,57|0,0.075,129,0.11737235328311654,0.185270041941434
49.2|0,61|0,0.0,178,0.17555499316158765,0.01908186911750124
49.2|0,62|0,0.0,129,0.3704553553753984,1.5504967038095284e-05
49.2|0,67|0,0.0,213,0.13572731675164987,0.0478855103486116
49.2|0,OC1|0,0.0,135,0.014527590686068372,0.8671854986041792
49.2|0,OC2|0,0.0,95,-0.058739420403659884,0.5717810233344822
49.2|0,OC3|0,0.06329113924050633,100,-0.030325697977738535,0.7645485153768773
49.2|0,OC3|1,0.0,32,0.17593529205461902,0.3354547598284287
52A|0,52|0,0.31645569620253167,32,0.07045716311583605,0.7015823016311317
52A|0,61|0,0.0,30,-0.07639780604049905,0.68823251768612
52A|0,67|0,0.0,36,0.15553723568964523,0.36503210570125194
52|0,53|0,0.0,79,0.057361688845159936,0.6155766947286051
52|0,57|0,0.0,73,-0.17039694384203927,0.14949762429907998
52|0,61|0,0.0,96,0.36068787105719385,0.00030616616625733025
52|0,62|0,0.0,62,0.244832147292263,0.05512655702272436
52|0,67|0,0.0,117,-0.08386013583126474,0.368689008250433
52|0,OC1|0,0.009345794392523364,87,-0.264478835228626,0.013306324707368415
52|0,OC2|0,0.019230769230769232,56,0.003149396921501662,0.981621227555096
52|0,OC3|0,0.0,59,-0.14956459665865965,0.2582148696976627
53|0,55A|0,0.0,57,-0.047791498799117454,0.7240689807108825
53|0,57|0,0.1935483870967742,135,0.1945697614498951,0.023738770261635993
53|0,61|0,0.016129032258064516,143,0.2052532189024474,0.013925821444234933
53|0,62|0,0.0,112,0.44329346284900994,9.837423465915912e-07
53|0,67|0,0.0,176,0.10717135809727776,0.1568520923969698
53|0,OC1|0,0.0,130,0.054047622247370364,0.5413766150891268
53|0,OC2|0,0.0,111,0.18554567913935532,0.05121414107615198
53|0,OC3|0,0.05405405405405406,119,0.18134109695307582,0.04841433200923265
53|0,OC3|1,0.0,35,0.4200307026510169,0.012001707207216291
55A|0,57|0,0.0,45,-0.1682661551538067,0.269202491289262
55A|0,61|0,0.0,51,0.0008724627678654371,0.9951519534618402
55A|0,62|0,0.0,44,0.07680725871568303,0.6202135701904032
55A|0,67|0,0.0,57,0.031923953028015234,0.8136337384003564
55A|0,OC1|0,0.009523809523809525,45,-0.26721621199267137,0.07597659693215815
55A|0,OC2|0,0.0,39,-0.0012200783452348957,0.994118463369669
55A|0,OC3|0,0.12149532710280374,40,-0.16613114009610422,0.305585377928398
57|0,61|0,0.034482758620689655,124,-0.0793924471192092,0.3807540238721255
57|0,62|0,0.0,78,0.08824225366635428,0.4423372217537782
57|0,67|0,0.0,162,0.09809647536706471,0.2142758406502485
57|0,OC1|0,0.0,113,0.12731366703395092,0.17901613450130127
57|0,OC2|0,0.0,84,0.18338786895914466,0.0949615951491328
57|0,OC3|0,0.056338028169014086,90,-0.019581418447203288,0.8546517092136723
61|0,62|0,0.04878048780487805,120,0.13093520585164434,0.15402573949255496
61|0,62|1,0.012048192771084338,34,0.03682051342123217,0.8362145471810547
61|0,67|0,0.047058823529411764,212,0.019594118053862797,0.7766899922105951
61|0,OC1|0,0.0,130,-0.016438764483629083,0.8527325345949281
61|0,OC2|0,0.0,90,-0.046111906884064885,0.6660534666395
61|0,OC3|0,0.0,99,0.04992824682630246,0.6235842931057459
62|0,67|0,0.0,133,0.0722834740249076,0.4083350107867039
62|0,OC1|0,0.0,101,0.23368032227532343,0.018678427007190492
62|0,OC2|0,0.0,75,0.29876744636731417,0.009222230409554314
62|0,OC3|0,0.0,83,0.10994785733606163,0.32242567638337377
62|1,67|0,0.0,43,-0.1009664366193534,0.5194320897762185
67|0,OC1|0,0.0,155,-0.01656699607451038,0.8378831651922392
67|0,OC2|0,0.0,116,0.14196246016333272,0.1284772786619845
67|0,OC3|0,0.0,123,0.20061832046128877,0.026086743457916752
67|0,OC3|1,0.0,35,0.09660399918029478,0.5809107262156566
OC1|0,OC2|0,0.43333333333333335,94,0.15559554042430324,0.13426141422796403
OC1|0,OC3|0,0.18604651162790697,98,0.2173959605035508,0.03153267807641371
OC1|0,OC3|1,0.07216494845360824,31,0.32438493317935013,0.07501458216785474
OC2|0,OC3|0,0.26582278481012656,82,0.29292451490199084,0.007569863155545808
OC2|0,OC3|1,0.14606741573033707,33,0.16328856878770062,0.3638952045884205
OC3|0,OC3|1,0.11320754716981132,30,0.03490018101577652,0.8547280710805093
